index,x,y,z
0,0.002945,-0.150894,-0.984024
1,0.006699,-0.150681,-0.987518
2,0.00444,-0.152222,-0.998932
3,0.003036,-0.145386,-0.983444
4,0.006561,-0.151733,-0.982086
5,0.001236,-0.154282,-0.985901
6,0.003326,-0.149734,-0.976196
7,0.007477,-0.152634,-0.991135
8,0.002396,-0.145462,-0.992798
9,0.006149,-0.147446,-0.977661
10,0.004715,-0.152954,-0.98587
11,0.000931,-0.150436,-0.980423
12,0.00705,-0.15152,-0.978851
13,0.004807,-0.147812,-0.99408
14,0.003662,-0.145782,-0.98613
15,0.006836,-0.148972,-0.982605
16,0.001541,-0.149002,-0.987625
17,0.003265,-0.153076,-0.980042
18,0.006393,-0.150604,-0.984818
19,0.002533,-0.147354,-0.992828
20,0.005646,-0.148849,-0.98822
21,0.004822,-0.147293,-0.985382
22,0.001175,-0.151703,-0.98436
23,0.004959,-0.152771,-0.978836
24,0.004059,-0.146912,-0.985916
25,0.005814,-0.151138,-0.993774
26,0.004761,-0.146179,-0.984985
27,0.00386,-0.146378,-0.985046
28,0.003555,-0.1548,-0.983917
29,0.004333,-0.149582,-0.979019
30,0.005157,-0.152054,-0.988632
31,0.005753,-0.151978,-0.991531
32,0.004715,-0.143951,-0.983246
33,0.00444,-0.151581,-0.987228
34,0.002914,-0.152222,-0.98288
35,0.004807,-0.149033,-0.978683
36,0.006485,-0.154449,-0.994934
37,0.004349,-0.145142,-0.987152
38,0.006638,-0.146866,-0.986053
39,0.003754,-0.152924,-0.99118
40,0.002731,-0.147476,-0.978226
41,0.006866,-0.153976,-0.983276
42,0.003738,-0.152023,-0.993195
43,0.004486,-0.143616,-0.984604
44,0.007523,-0.150909,-0.991165
45,0.001266,-0.148987,-0.98732
46,0.005081,-0.149872,-0.974243
47,0.005722,-0.154663,-0.990265
48,0.002808,-0.14917,-0.986542
49,0.008667,-0.148193,-0.992188
50,0.003204,-0.148392,-0.99353
51,0.002213,-0.149841,-0.978302
52,0.00589,-0.151596,-0.979797
53,0.002747,-0.150436,-0.988693
54,0.006348,-0.150406,-0.985641
55,0.006653,-0.147827,-0.989944
56,0.002731,-0.147034,-0.981277
57,0.006409,-0.152176,-0.977737
58,0.003464,-0.149887,-0.985016
59,0.00293,-0.152618,-0.98732
60,0.007278,-0.149063,-0.985153
61,0.005005,-0.14389,-0.992722
62,0.005051,-0.15123,-0.98703
63,0.004959,-0.148834,-0.980087
64,0.002731,-0.151382,-0.987915
65,0.006271,-0.155151,-0.98584
66,0.005402,-0.145309,-0.98053
67,0.005371,-0.148849,-0.990463
68,0.00618,-0.15152,-0.983185
69,0.002197,-0.145493,-0.988892
70,0.004807,-0.155914,-0.990326
71,0.005188,-0.150253,-0.983841
72,0.005493,-0.144379,-0.987457
73,0.006729,-0.151947,-0.993759
74,0.002823,-0.14537,-0.980225
75,0.004684,-0.15036,-0.98111
76,0.003799,-0.155014,-0.988525
77,0.004135,-0.145294,-0.982407
78,0.0065,-0.150101,-0.991959
79,0.005173,-0.148788,-0.989288
80,0.005188,-0.145935,-0.975739
81,0.00531,-0.155167,-0.986893
82,0.001114,-0.150009,-0.984009
83,0.006012,-0.148193,-0.982727
84,0.005981,-0.149429,-1.001556
85,0.002731,-0.144348,-0.982758
86,0.006577,-0.149673,-0.981766
87,0.002838,-0.151306,-0.991821
88,0.002335,-0.149841,-0.980316
89,0.007858,-0.150986,-0.982407
90,0.004089,-0.147186,-0.993301
91,0.005096,-0.146988,-0.978806
92,0.005463,-0.148926,-0.98793
93,0.001511,-0.149689,-0.986893
94,0.006393,-0.151337,-0.980408
95,0.004303,-0.148087,-0.988968
96,0.004578,-0.148056,-0.988739
97,0.005997,-0.147903,-0.984024
98,0.002045,-0.147369,-0.98703
99,0.003372,-0.154297,-0.982849
100,0.00502,-0.149841,-0.983551
101,0.004456,-0.148926,-0.991455
102,0.007385,-0.149811,-0.98587
103,0.004074,-0.144699,-0.984329
104,0.003067,-0.152161,-0.986359
105,0.004517,-0.152695,-0.982956
106,0.003906,-0.14592,-0.984406
107,0.006851,-0.152679,-0.991608
108,0.005081,-0.14624,-0.98848
109,0.003799,-0.143356,-0.984512
110,0.005157,-0.155197,-0.985565
111,0.003174,-0.147675,-0.981018
112,0.00531,-0.151688,-0.986984
113,0.005676,-0.152252,-0.991638
114,0.0047,-0.142059,-0.984329
115,0.007019,-0.150528,-0.988419
116,0.003006,-0.150116,-0.984604
117,0.004211,-0.14769,-0.976654
118,0.006836,-0.155472,-0.989761
119,0.003647,-0.145996,-0.989655
120,0.006866,-0.146591,-0.9841
121,0.006027,-0.152527,-0.988434
122,0.002396,-0.147385,-0.980286
123,0.007126,-0.153824,-0.982513
124,0.003571,-0.151627,-0.992447
125,0.004272,-0.145615,-0.983887
126,0.00795,-0.149384,-0.987198
127,0.001541,-0.147964,-0.990891
128,0.003906,-0.150208,-0.978714
129,0.004669,-0.152771,-0.986206
130,0.001602,-0.149155,-0.985199
131,0.006668,-0.14679,-0.982483
132,0.00589,-0.146103,-0.989822
133,0.001663,-0.148224,-0.982269
134,0.006073,-0.151642,-0.975174
135,0.003098,-0.150909,-0.987595
136,0.006683,-0.152054,-0.985977
137,0.008957,-0.148163,-0.988098
138,0.006165,-0.148941,-0.993118
139,0.006424,-0.153488,-0.984085
140,0.004776,-0.150879,-0.983383
141,0.003754,-0.155106,-0.989304
142,0.006104,-0.152084,-0.989029
143,0.006027,-0.144943,-0.990906
144,0.004349,-0.151413,-0.99176
145,0.003387,-0.148895,-0.980255
146,0.004028,-0.14975,-0.981857
147,0.004517,-0.155701,-0.98851
148,0.004501,-0.145508,-0.984238
149,0.00766,-0.148087,-0.986237
150,0.005569,-0.15036,-0.988373
151,0.004501,-0.144882,-0.975204
152,0.006424,-0.155899,-0.983688
153,0.003738,-0.149887,-0.986038
154,0.005859,-0.145508,-0.983109
155,0.008011,-0.151718,-0.990753
156,0.003448,-0.145401,-0.986359
157,0.006897,-0.150894,-0.981323
158,0.005234,-0.156494,-0.991394
159,0.00206,-0.146545,-0.982681
160,0.009186,-0.151947,-0.989944
161,0.004333,-0.148163,-0.999481
162,0.003815,-0.144226,-0.98172
163,0.007538,-0.155334,-0.981735
164,0.000671,-0.150909,-0.985718
165,0.005508,-0.149551,-0.977692
166,0.007019,-0.151566,-0.993103
